Error ==> bits 6-7 are reserved and must be 0, ...... URL ==> https://www.andoverpatio.co.uk/webfonts/fa-solid-900.woff2
Error ==> Timeout, ...... URL ==> https://extranet.dienstencheques-vlaanderen.be/Content/fonts/FlandersArtSans-Medium.woff
Error ==> Timeout, ...... URL ==> https://www.ins-netz-gehen.de/typo3conf/ext/site_package_base/Resources/Public/StyleSheets/Fonts/fontello.woff2
Error ==> Not a TrueType or OpenType font (bad sfntVersion), ...... URL ==> https://d1lz0x8vux7646.cloudfront.net/core/fonts/fontawesome-webfont.woff2?v=4.7.0
Error ==> Timeout, ...... URL ==> https://snuskingdom.com/static/version1656578889/frontend/NWT/snus/en_US/fonts/opensans/bold/opensans-700.woff2
Error ==> Timeout, ...... URL ==> https://sonovision.in/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2
Error ==> Timeout, ...... URL ==> https://www.casafrata.it/skin/frontend/dfsolution/casafrata/icons/font/porto.woff2?20988115
Error ==> Timeout, ...... URL ==> https://proroliki.com.ua/catalog/view/theme/default/fonts/FuturaPTMedium.woff
Error ==> Timeout, ...... URL ==> https://fonts.shopifycdn.com/din_next/dinnext_n7.57888b0b2051a4dba7d02aad7ca64db99eca3cf1.woff2?h1=b3Jpb24zZHByaW50ZXJzLmNvbQ&hmac=644f31e99505c6728a4af42124a637ff2d8a8228115c959f3613de7dae032226
Error ==> Timeout, ...... URL ==> https://www.attractivebomboniere.com/themes/theme_clima1/assets/css/webfonts/fa-solid-900.woff2
Error ==> Timeout, ...... URL ==> https://partidopirata.org/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.ttf
Error ==> Timeout, ...... URL ==> https://fonts.shopifycdn.com/poppins/poppins_i7.4f85a5d51a1aecf426eea47ac4570ef7341bfdc1.woff2?h1=dGhlbmVidWxpc2VyLmNvbQ&h2=dXMudGhlbmVidWxpc2VyLmNvbQ&h3=bmVidWxpc2VyLm5s&hmac=c05477c9f55d611509e653a9d9b2bdadbf71b45af6e6a6967f8a832504bea1a5
Error ==> Timeout, ...... URL ==> https://m.unemployment.cmt.ohio.gov/css/fonts/SerifaBEFOP-Roman.otf
Error ==> Timeout, ...... URL ==> https://fonts.shopifycdn.com/quicksand/quicksand_n3.aca7966d6f657db1e1860622aba1fbd70add25cf.woff2?h1=d2F0ZXJkYWxlY29sbGVjdGlvbi5jb20&hmac=aa9d6fb41d5ee66b0dd42a8322c0d35cd9b19ede7be3a6c19651ed681b1d8041
Error ==> Timeout, ...... URL ==> https://www.fritolayvarietypacks.com/sites/varietypacks.com/themes/varietypacks/css/fonts/Bliss2.woff?1
Error ==> Timeout, ...... URL ==> https://newgenbaker.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2
Error ==> Timeout, ...... URL ==> https://circulaverde.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2
Error ==> Not a TrueType or OpenType font (bad sfntVersion), ...... URL ==> https://www.iq-wissen.de/typo3conf/ext/schuelerhilfe_theme/Resources/Public/Fonts/Montserrat/Montserrat-Regular.woff
Error ==> Not a TrueType or OpenType font (bad sfntVersion), ...... URL ==> https://herobot.app/wp-content/plugins/betterdocs/admin/assets/fonts/fa-brands-400.woff2
Error ==> Timeout, ...... URL ==> https://amigosdelmatchedbetting.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2
Error ==> Timeout, ...... URL ==> https://www.graupner-immobilien.de/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.woff?5510888
